searchDate,flightDate,startingAirport,destinationAirport,isBasicEconomy,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsAirlineCode,booking_days_advance,flight_day_of_week,flight_month,booking_10_day_window
2022-04-16,2022-04-17,ATL,BOS,False,True,217.67,248.6,9,947,DL,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,True,217.67,248.6,4,947,DL,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,True,217.67,248.6,9,947,DL,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,True,217.67,248.6,8,947,DL,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,True,217.67,248.6,9,947,DL,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,True,217.67,248.6,7,947,B6,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,251.1,3,956,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,251.1,3,956,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,251.1,7,956,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,251.1,7,956,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,252.6,1,947,UA||UA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,252.6,3,1462,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,252.6,5,1462,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,252.6,3,1462,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,213.02,252.6,2,1462,UA||UA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,True,265.58,300.1,7,947,AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,260.47,302.11,1,956,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,260.47,302.11,1,956,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,260.47,302.11,1,956,AA||AA,1,6,4,0-10
2022-04-16,2022-04-17,ATL,BOS,False,False,260.47,302.11,1,956,AA||AA,1,6,4,0-10
